shop,title,price,old_price,discount,date_start,date_end,additional_info,img
rimi,"Pop. rankšl. RIMI , 2 sl. 600 l.",2.39,4.79,-50%,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_816077_PCE_LT"
rimi,"Greitai užšaldytos šilauogės RIMI, 400 g",2.45,3.49,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_811169_PCE_LT"
rimi,"Greitai užšaldyti žirneliai RIMI, 400 g",0.89,1.25,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_808614_PCE_LT"
rimi,"Virti burokėliai KVEDARŲ ŪKIS, 500 g",0.62,0.89,-30%,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4004228_PCE_LT"
rimi,"Tep. varšk. sūris PHILADELPHIA Orig., 200g",2.49,2.99,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_212051_PCE_LT"
rimi,"Ekologiškas jogurtas DOBILAS, 2,3-4,6 %, 300g",1.75,2.19,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_278494_PCE_LT"
rimi,"Pjaustytas puskietis sūris DVARO, 50 %, 150 g",1.99,2.39,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_228751_PCE_LT"
rimi,"Mėlyn. vynuogės MOLDOVA, 1kl., 1kg",1.99,2.99,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_213260_KGM_LT"
rimi,"Ekol. nat. jogurtas DOBILAS, 2,3-4,6 %, 125 g",0.87,1.09,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_261891_PCE_LT"
rimi,"Kosmetinės servetėlės RIMI, 4 sl., 80 lap.",0.72,1.45,-50%,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_816250_PCE_LT"
rimi,"Virt.kalakut. kumpis griež. BIOVELA, Ir., 90g",1.79,2.29,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_292391_PCE_LT"
rimi,"Rauginti kopūstai maiš. TRADICINIAI, 1kg",1.67,2.39,-30%,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_149746_PCE_LT"
rimi,"Šald. krevetės NOWACO EXLUSIVE, ASC, 300 g",5.69,9.99,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_964569_PCE_LT"
rimi,"Greitai užšaldyti mangai RIMI, 400 g",2.39,2.99,,,,,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_808687_PCE_LT"
