shop,title,price,old_price,discount,date_start,date_end,additional_info,img
maxima,Pjaustytiems kumpiams BIOVELA*,,,-25%,,01.26,,https://offers.maxima.lt/media/MarketingOffer/696e75d8212cd.png
maxima,"KREKENAVOS vytinta MINDAUGO dešra*, a. r., 2 vnt. × 200 g",5.29,,,,01.26,,https://offers.maxima.lt/media/MarketingOffer/696e75d84b966.png
maxima,ROKIŠKIO MĖSINĖS šaltai rūkytiems ir vytintiems gaminiams*,,,-25%,,01.26,,https://offers.maxima.lt/media/MarketingOffer/696e75d835d9c.png
maxima,"VILNIAUS PAUKŠTYNO keptas vištienos kumpelis ČYZAS PREMIUM*, 2 rūšių, a. r., 400 g",3.49,4.99,-30%,,01.26,,https://offers.maxima.lt/media/MarketingOffer/696e75d7ec6c8.png
maxima,Ispaniškiems pjaustytiems mėsos gaminiams ir FUET dešroms WELL DONE*,,,-20%,,01.26,,https://offers.maxima.lt/media/MarketingOffer/696e75d5d7994.png
maxima,VILNIAUS PAUKŠTYNO BE ANTIBIOTIKŲ linijos mėsos gaminiams*,,,-30%,,01.26,,https://offers.maxima.lt/media/MarketingOffer/696e75d6269ca.png
maxima,"Virtos rūkytos kiaulių ausys WELL DONE*, nerūš., 2 pak. × 200 g",2.79,,,,01.26,XX,https://offers.maxima.lt/media/MarketingOffer/696e75e15447e.png
maxima,"Kepti vištienos filė kubeliai su prieskoniais VILNIAUS PAUKŠTYNAS*, 250 g",3.99,5.99,,,02.02,XX,https://offers.maxima.lt/media/MarketingOffer/695bddac86f10.png
maxima,"Mažai rūkyta PREMIUM kalakuto krūtinėlė ARVI*, a. r., fasuota, 1 kg",16.99,20.59,,,02.02,XX,https://offers.maxima.lt/media/MarketingOffer/695e392ef0256.png
maxima,"Karštai rūkyta kalakutų krūtinėlių filė ARVI*, 2 rūšių, a. r., fasuota, 1 kg",14.99,18.99,,,02.02,XXX,https://offers.maxima.lt/media/MarketingOffer/695bddac357e8.png
maxima,"Sterilizuotas paštetas BIOVELA*, 2 rūšių, a. r., 150 g",1.29,2.29,,,02.02,,https://offers.maxima.lt/media/MarketingOffer/695bddacae34e.png
maxima,"Vytinta jautiena THE MEAT MAKERS*, a. r., 40 g",2.19,3.69,,,02.02,XX,https://offers.maxima.lt/media/MarketingOffer/696f3e37080db.png
maxima,"Virtos DARŽO dešrelės BIOVELA*, 2 rūšių, nerūš., 240 g",1.99,3.69,,,02.02,XX,https://offers.maxima.lt/media/MarketingOffer/695bddace7d25.png
maxima,"Švieži viščiukų broilerių filė gabaliukai VILNIAUS PAUKŠTYNAS*, 500 g",3.49,5.49,,,02.02,,https://offers.maxima.lt/media/MarketingOffer/695bddaf0f967.png
maxima,"Šviežios triušienos juostelės LAPINO PUOTA*, 200 g",3.49,5.49,,,02.02,XX,https://offers.maxima.lt/media/MarketingOffer/695bddaf84a34.png
maxima,"Sausai brandintas jautienos kumpis EKO MEMEL ANGUS*, brandintas 30 d., fasuotas, 1 kg",21.49,26.99,,,02.02,XXX,https://offers.maxima.lt/media/MarketingOffer/695bddaf98305.png
maxima,"Šviežias vištienos faršas VILNIAUS PAUKŠTYNAS*, 2 rūšių, rieb. ne daugiau 15 %, 400 g",1.99,2.99,-33%,,02.02,XXX,https://offers.maxima.lt/media/MarketingOffer/695f802371430.png
maxima,"Lėtai virti šonkauliai su klevų sirupu GRYNUOLIAI*, 600 g",4.99,9.99,-50%,,02.02,,https://offers.maxima.lt/media/MarketingOffer/695e6cc0d57cf.png
maxima,"Šviežia pjaustyta kiaulienos nugarinė WELL DONE*, 360 g",2.29,3.29,-30%,,02.02,,https://offers.maxima.lt/media/MarketingOffer/695e6cc15e3b4.png
