shop,title,price,old_price,discount,date_start,date_end,additional_info,img
lidl,"Raikytas pieniškas batonas 330 g | 1 kg = 1,67 €",0.55,0.69 ,-20%,01.19,01.25,,https://imgproxy-retcat.assets.schwarz/63_Im5hfi2S5CVmCLQvb4pLbxOwGYzEd2oTgTHqAKhk/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS8zQ0VBNzQ4RjZCNDI2RkJEQTE1RUJEMzk/2NzIwOUI2RUVFQ0NCNDc4RUI1QjY2QTUwM0FCMzhGRjJCOUMyODE4LnBuZw.png
lidl,"Raikyta juoda duona 800 g | 1 kg = 1,39 €",1.11,1.39 ,-20%,01.19,01.25,,https://imgproxy-retcat.assets.schwarz/1aiuq3hpm7bg0yaSDAy-SOu5GX-iRA2QshIf_zYnVXo/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS81RkZBNjU3MzQ4NUQ3NzEwQTNENzFBNDl/GOUMyRTBBNTAwRDU5OEVDQTFBNkJGRERFREFGQkEyM0ZGRTJBMkU1LnBuZw.png
lidl,"Prancūziško stiliaus skanėstai Kanelės 6 x 40 g | 1 kg = 11,50 €",2.76,4.14 ,4+2,01.22,01.25,,https://imgproxy-retcat.assets.schwarz/0JXMfPFbQ5Skx2adRsIh7fceC07Tq0t4nDiYOH9Ld-0/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS82NUU5OEIwRkNGOTQ2QjgzQTU1NjlFREI/1MUZCRDAxOTFGODhBNUFFQjUxOURCMDdCNzlFQzRBQTgwMDRDRTc0LnBuZw.png
lidl,"Spurga su pistacijų įdaru 3 x 90 g | 1 kg = 9,56 €",2.58,3.87 ,2+1,01.22,01.25,,https://imgproxy-retcat.assets.schwarz/x26r84FpO1nPP3MHDIbuK5rpwPGs4aJozJAP228ub3g/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS9ERkFBQ0I4N0E4MEIzNjgyQTIzQ0IyNzI/wMUI1RjM4MzAxM0FGQjdBRkFFNkRGMTJCMDY1NDJDRTVDMjgwNThBLnBuZw.png
lidl,"Bandelė su varške ir rikotos sūriu 4 x 90 g | 1 kg = 4,08 €",1.47,1.96 ,3+1,01.22,01.25,,https://imgproxy-retcat.assets.schwarz/aDHSUP8P9VedESbFn-usdHBtAD6FJVcFVafn9yPKXoM/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS8xOTJFM0U1NTYyNTA5NDQ1QjAxNTdERTI/wREI2Q0U4OUJGMzlCMDRBQkIyNTRENDU0OUM3NjlCNUVCOEQ0QTQyLnBuZw.png
lidl,"Sviestinis kruasanas su vanilės ir karamelės įdaru 90 g | 1 kg = 7,22 €",0.65,,SUPERKAINA!,01.19,01.25,,https://imgproxy-retcat.assets.schwarz/S7fk2RkQ2bGDVxaFT8yDkXkf4gUyqwlF4zbUcnxpwOU/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50L0NCMUUyQzczRTNBNDlCOEYyM0U1N0UwQU/VCQzA5MjRFMEVFNUYzNUNBRTdFQzc4RUM5QUU2QzVCMzlBMzg1MkIucG5n.png
lidl,"Bandelė su obuolių įdaru 5 x 113 g | 1 kg = 5,59 €",3.16,3.95 ,su Lidl Plus4+1,01.22,01.25,,https://imgproxy-retcat.assets.schwarz/q9B9QOQGg5W79BA6XD5oBvpdTWg97IPoJVuTfPNMBs4/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS85M0U0NkEzNUQ5MTQ1QzVEQzRFQzRBODc/1NzMxNUM2OTE1RUJGNkYyQzlGQTFFREQwRkRDNEIwRTI3MTJFOTI5LnBuZw.png
lidl,Švieži kiaulienos šonkauliai 1 kg,3.99,5.99 ,-33%,01.22,01.25,,https://imgproxy-retcat.assets.schwarz/-KAqENWzHhZBNsUu2hd9w05HyGmpKY6deZQXpkQ8s_g/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzU0NUQwQzBGOEQxMTdBOTYzRTU3ODBBNU/VGRjA2N0U2MUZCNDYzREU2MUY1MjcwRTYyQ0ExMURCMUUxMkUzNjIucG5n.png
lidl,Marinuotas viščiukas su rūkyta šonine 1 kg,3.99,,SUPERKAINA!,01.22,01.25,,https://imgproxy-retcat.assets.schwarz/jaHENDk-GqTe2F8FrxFdD97P22LNu-FH6KzPwxsTIBg/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzJFODE0OTZFQ0EyQTQ1OUNFQjEzNUJBQk/VEMjNDODdGQUVDMDgyMUY2REE3OTcxMUJERDgxNkVCMzgyQUExRDkucG5n.png
lidl,Švieži ančiukų ketvirčiai be antibiotikų 1 kg,5.99,,SUPERKAINA!,01.22,01.25,,https://imgproxy-retcat.assets.schwarz/dvR7RkJDnlMOCCfsYzdPH1hdNbtIE169rxxqBsbs5l0/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzAyQTE1Njk5NUEzQTA4RTUyMEM4RUFCMj/BBQUY3REFGRTI5NTU2RkYxQzI4MUVDRjlCQkU2QTBEQ0YzM0M0RkIucG5n.png
lidl,Jautienos kumpio kepsnys pipiriniame marinate 1 kg,19.99,,SUPERKAINA!,01.22,01.25,,https://imgproxy-retcat.assets.schwarz/wCqRUxT_hGezLcg9YDNi8vbriHwq_Up07oUDfFlafK8/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzJCM0FDOTdGODJCMjNBNDI1QTY1MzVDQT/lDNTQ5Q0Y4QUNGOUQ3NzZCNEExNTU3RENBNTQzQzY5MUU3MDY3RDgucG5n.png
lidl,"Švieži sprandinės pjausniai 560 g | 1 kg = 6,41 €",3.59,4.99 ,-28%,01.22,01.25,,https://imgproxy-retcat.assets.schwarz/nwuIv-vqpG1rP79V0bRCYfbh0q-vYSEUdQttbVRg3q0/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzAxQzYyOEJEQ0Q5RTlFMEY4QTMxNUU3Nz/U3MDhEMEI0NTc0MkM5RUU4MDRGNzg2NkJCNERGRDYxNzE1NUJEQTcucG5n.png
lidl,"Sušių rinkinys „Kiku“ 205 g | 1 kg = 14,59 €",2.99,,SUPERKAINA!,01.22,01.25,,https://imgproxy-retcat.assets.schwarz/jEA2-EbnAMd9nUhK0Cn4C6NZ7iIVOJbGN3p9mBhClsc/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzQ0QjIxRDkyREVDMzYyMUNFOTdDN0JERk/NFRTI5QzRBNDVDRkY3ODNCNDJCRUUyNjA4RUREM0FBQzIwRDJFM0IucG5n.png
lidl,Europinė paltusinė plekšnė 1 kg,7.49,,SUPERKAINA!,01.22,01.25,,https://imgproxy-retcat.assets.schwarz/nFcpT5nHQWWPlz32keH6YTQkPneY4J39MYAq7AzBgf4/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzdENTA5MEU4MDNFNjQxRUREM0JEMzNDMz/ZGOEQyRDU5MzVEMzczMDlBQjE1NjVFQTBBRUNDMUZDOUU4NTU2QTUucG5n.png
lidl,Atlantinių lašišų filė žolelių ir česnakų marinate 1 kg,14.99,,SUPERKAINA!,01.22,01.25,,https://imgproxy-retcat.assets.schwarz/hPBiSYBGedBiPM5qUErA1ktcF9aUFAfgxwhYXsOJXwE/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzVCRDU1QjYzNDRFOEJEODc4QjIxRDI5QU/ZBRTNGNzFDQkNGRDVGMTMyRjI0RkY0QTQ4M0M0RDI1QzQ3RDI0MjgucG5n.png
lidl,"Upėtakių filė paplotėliai 250 g / 1 kg = 11,96 €",2.99,,SUPERKAINA!,01.22,01.25,,https://imgproxy-retcat.assets.schwarz/Uis3u8a-Xhbk6s6J4UCi4JhYthHwV2-NhPPT1m8LFKk/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvaW50LzIxMTk3OUFENTQ0NzUzMDA0OUMxRTM0NU/YyN0JFOUE3NjMzNEIxRkY0ODA0QTg4QjAzRkQ0NDMxMjVDRDg1OUEucG5n.png
lidl,"Virtos baltakojės blyškiosios krevetės 350 g | 1 kg = 9,00 €",3.15,4.89 ,-35%,01.22,01.25,,https://imgproxy-retcat.assets.schwarz/f3zvcS4Or2NTuw-vOso6-8-SKiV9VulCVByvOSN9ZpQ/sm:1/w:427/h:320/cz/M6Ly9wcm9kLWNhd/GFsb2ctbWVkaWEvbHQvMS8yM0VFNjJBNkVFMTU1ODE4NTY3RERFNzQ/zNUNCMDkzQTM1MjA1RUNERjI1RkY1RjY1MzU1RTAwOEUyRDNENTE3LnBuZw.png
