shop,title,price,old_price,discount,date_start,date_end,additional_info,img
iki,Pasiflora,0.59,,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-046.jpg
iki,Kinkanai,1.99,,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-047.jpg
iki,Ličiai,5.99,,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-048.jpg
iki,Kertuotis,3.99,,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-049.jpg
iki,Citrinos,1.39,,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-050.jpg
iki,Didieji sunokę mangai,1.79,,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-051.jpg
iki,Džiovinti duonvaisiai,2.99,,1+1,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-052.jpg
iki,Slyviniai pomidorai,2.49,,SUPER KAINA,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-053.jpg
iki,Ilgavaisiai agurkai,1.29,,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-054.jpg
iki,Įvairiaspalviai vynuoginiai pomidoriukai,2.99,,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-055.jpg
iki,Sunokę avokadai,1.99,,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-056.jpg
iki,Brokolis,1.39,,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-057.jpg
iki,Žiedinis kopūstas,2.39,,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-058.jpg
iki,Pievagrybiai,0.99,,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-059.jpg
iki,BON VIA salota ICEBERG,1.39,,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-060.jpg
iki,IKI fasuotoms prieskoninėms žolelėms,,,-25%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-061.jpg
iki,Svogūnų laiškai,1.19,,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-062.jpg
iki,CLEVER svogūnai,0.39,,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-063.jpg
iki,Saldžiosios bulvės,1.49,,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-064.jpg
iki,IKI raudonieji ridikėliai,0.99,,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-065.jpg
iki,CLEVER burokėliai,0.49,,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-066.jpg
iki,Plautiems salotų mišiniams FIT & EASY,,,-30%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-067.jpg
iki,Obuoliai GRANNY SMITH,2.39,,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-068.jpg
iki,Obuoliai JONAGOLD,1.19,,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-069.jpg
iki,Obuoliai GOLDEN,2.39,,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-070.jpg
iki,Raudonieji obuoliai GALA,0.89,,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-071.jpg
iki,IKI ŪKIS fasuoti obuoliai,1.59,,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-072.jpg
iki,Obuoliai RED DELICIOUS,2.49,,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-073.jpg
iki,BON VIA BIO obuoliai,1.79,,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-074.jpg
iki,Skintos TULPĖS,3.99,,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-075.jpg
iki,Skinti smulkiažiedžiai GVAZDIKAI,2.99,,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-076.jpg
iki,Lapinis augalas ZAMIOKULKAS,3.99,,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-077.jpg
iki,Žydintis augalas RAKTAŽOLĖ,1.49,,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-078.jpg
iki,Skintos ROŽĖS,2.99,,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-079.jpg
iki,Žydintis augalas ANTURIS,5.99,,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-080.jpg
iki,Žydintis augalas ROŽĖ,2.49,,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-081.jpg
iki,Svogūninis augalas HIACINTAS,3.99,,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-082.jpg
iki,IKI ŠEFAI kulinarijos šeiminėms pakuotėms,,,-40%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-083.jpg
iki,IKI ŠEFAI CEZARIO salotos su vištiena,2.79,3.69,-24%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-084.jpg
iki,IKI ŠEFAI salotų dubenėlis BOWL su keptais avinžirniais,3.49,4.69,-25%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-085.jpg
iki,IKI ŠEFAI vištų kepenėlių paštetas su pistacijomis,3.39,4.29,-20%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-086.jpg
iki,IKI ŠEFAI SLUOKSNIUOTA tuno mišrainė,2.99,3.89,-23%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-087.jpg
iki,IKI ŠEFAI saldžiarūgštė vištiena su ryžiais,3.19,4.49,-28%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-088.jpg
iki,IKI ŠEFAI kepti fasuoti KYJIVO kotletai,3.29,4.29,-23%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-089.jpg
iki,IKI ŠEFAI virti makaronai su padažu ir mocarela,3.59,4.49,-20%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-090.jpg
iki,IKI ŠEFAI kepta BOLONIJOS lazanija,3.19,4.29,-25%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-091.jpg
iki,Tortas PASIFLORA,8.99,9.99,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-092.jpg
iki,Tortas LUI,13.99,16.99,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-093.jpg
iki,VAISINIS tortas,12.49,13.99,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-094.jpg
iki,Pyragas su spanguolėmis RUBINAS,9.49,10.99,-20%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-095.jpg
iki,MEDAUS pyragas,9.99,10.99,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-096.jpg
iki,Griliažinis MONMARTRO pyragas,11.99,15.99,-25%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-097.jpg
iki,Eklerams,,,-20%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-098.jpg
iki,Grietinėtis,2.37,0.79,3+1,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-099.jpg
iki,Pyragėlis MARCIPANINIS SUKUTIS,0.49,0.59,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-100.jpg
iki,Kruasanas su karameliniu įdaru,0.49,0.69,-28%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-101.jpg
iki,Bandelė su abrikosų ir varškės įdaru,0.49,0.79,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-102.jpg
iki,Mini PRANCŪZIŠKAS batonas su česnakinio sviesto įdaru,0.39,0.49,-20%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-103.jpg
iki,Šviesi duona su grūdais ir sėklomis,1.49,1.79,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-104.jpg
iki,Sluoksniuotos tešlos bandelė su šoninės įdaru,0.49,0.79,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-105.jpg
iki,Tamsiai duonai su raugu MORTA,,,-20%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-106.jpg
iki,VISO GRŪDO ruginė duona,1.39,1.75,-20%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-107.jpg
iki,Raikyta GUDOBELĖS duona,1.59,1.89,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-108.jpg
iki,Duonai ir duonelėms TOSTE,,,-20%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-109.jpg
iki,SUMUŠTINIŲ batonas,0.89,1.25,-28%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-110.jpg
iki,Riestainiams JAVINĖ,,,-20%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-111.jpg
iki,POPULIARUSIS šakotis ROMNESA,10.99,15.49,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-112.jpg
iki,GARLIAVOS DUONOS sausainiams,,,-20%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-113.jpg
iki,PLIKYTI sausainiai JDC,1.99,,1+1,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-114.jpg
iki,"Sūriams WENSLEYDALE, MEXICANA ir OLD IRISH",,,-25%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-115.jpg
iki,BILLA sūriams,,,-20%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-116.jpg
iki,Atšaldytos skrostos atlantinės lašišos su galvomis,6.99,13.99,-50%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-117.jpg
iki,Atitirpinta nilinių tilapijų filė be odos,8.99,14.49,-38%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-118.jpg
iki,Silkių filė VIČI,2.19,,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-119.jpg
iki,Silkių filė ZIGMAS ONE BITE,1.99,,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-120.jpg
iki,Silkių filė EDEGA gabaliukais,2.19,3.29,-33%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-121.jpg
iki,ŠVENTINĖ ar JUBILIEJINĖ silkių filė,3.29,3.99,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-122.jpg
iki,Atšaldytos krabų skonio lazdelės iš surimio VIČI CLASSIC,1.99,,1+1,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-123.jpg
iki,Atlanto žuvų ikrų užtepėlė NORVEN,2.49,3.49,-28%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-124.jpg
iki,Atitirpinti skrosti didieji jūriniai ešeriai be galvų,6.99,10.49,-33%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-125.jpg
iki,Atitirpintos skrostos atlantinės argentinos be galvų,4.99,9.49,-47%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-126.jpg
iki,Karštai rūkytoms žuvims RUSNĖS ŽUVIS,,,-20%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-127.jpg
iki,Atitirpintos nevirtos krevetės su galvomis,10.84,15.49,-30%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-128.jpg
iki,IKI sūdyta ar šaltai rūkyta atlantinių lašišų filė,2.69,3.79,-29%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-129.jpg
iki,IKI ŪKIS jautienos kumpis be kaulo,12.69,14.99,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-130.jpg
iki,IKI ŪKIS jautienos sprandinė su pomente be kaulo,13.49,15.99,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-131.jpg
iki,Šviežios TRADICINĖS lietuviškos dešrelės,5.49,6.49,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-132.jpg
iki,Šviežiai vištienai VILNIAUS PAUKŠTYNAS,,,-20%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-133.jpg
iki,IKI šviežia viščiukų broilerių šlaunelių mėsa,3.49,4.79,-27%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-134.jpg
iki,IKI ŪKIS jautienos mentė su kaulu,12.29,14.49,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-135.jpg
iki,IKI ŪKIS jautienos šonkauliai,11.99,12.99,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-136.jpg
iki,Sausai brandinta smulkinta jautiena GRYNUOLIAI,4.79,5.49,TIK,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-137.jpg
iki,Marinuotai VILNIAUS PAUKŠTYNO PREMIUM produkcijai,,,-20%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-138.jpg
iki,Lėtai virta RUMŠIŠKIŲ PAUKŠTYNO viščiuko broilerio puselė,5.99,9.99,-40%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-139.jpg
iki,Šviežiai antienai,,,-20%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-140.jpg
iki,RUMŠIŠKIŲ PAUKŠTYNO švieži atvėsinti viščiukų broilerių ketvirčiai,2.99,4.49,-33%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-141.jpg
iki,IKI atvėsinta jautiena troškinti,4.99,6.49,-23%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-142.jpg
iki,Mėsos gaminiams BAJORŲ,,,-50%,01.19,01.25, XXX,https://iki.lt/wp-content/uploads/2026/01/16/20260119-143.jpg
iki,Virtiems mėsos gaminiams SAMSONAS,,,-40%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-144.jpg
iki,LIETUVIŠKOMS PIENIŠKOMS dešrelėms,,,-40%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-145.jpg
iki,Apdorotiems mėsos gaminiams RUMŠIŠKIŲ TRADICIJOS,,,-30%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-146.jpg
iki,Virtoms UTENOS MĖSOS dešroms griežinėliais,,,-25%,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-147.jpg
iki,Virtos jautienos dešrelės KAI NORISI MĖSOS,4.29,,1+1,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-148.jpg
iki,Virtos GIMINIŲ dešrelės,3.99,7.99,TIK,01.19,01.25,,https://iki.lt/wp-content/uploads/2026/01/16/20260119-149.jpg
